
> frontend@0.0.0 dev
> vite --port 5173


  VITE v5.4.11  ready in 490 ms

  ➜  Local:   http://localhost:5173/
  ➜  Network: use --host to expose
[1m[33m[@vue/compiler-sfc][0m[33m `defineEmits` is a compiler macro and no longer needs to be imported.[0m

4:29:12 pm [vite] hmr update /src/components/DeckGLMap.vue
4:32:15 pm [vite] hmr update /src/components/DeckGLMap.vue
4:32:25 pm [vite] hmr update /src/components/DeckGLMap.vue
4:32:27 pm [vite] hmr update /src/components/DeckGLMap.vue
4:32:50 pm [vite] hmr update /src/components/DeckGLMap.vue
4:33:04 pm [vite] hmr update /src/components/DeckGLMap.vue
5:05:13 pm [vite] hmr update /src/components/DeckGLMap.vue
5:05:29 pm [vite] hmr update /src/components/DeckGLMap.vue
5:06:07 pm [vite] hmr update /src/components/SettingsModal.vue
5:06:24 pm [vite] hmr update /src/components/SettingsModal.vue
5:06:40 pm [vite] hmr update /src/components/SettingsModal.vue
5:06:52 pm [vite] hmr update /src/components/SettingsModal.vue
5:25:12 pm [vite] hmr update /src/components/SettingsModal.vue
5:25:15 pm [vite] hmr update /src/components/DeckGLMap.vue
5:26:01 pm [vite] hmr update /src/components/SettingsModal.vue
5:26:28 pm [vite] hmr update /src/components/DeckGLMap.vue
5:26:53 pm [vite] hmr update /src/components/DeckGLMap.vue
5:27:16 pm [vite] hmr update /src/components/DeckGLMap.vue
